RaceName_name,City,State,RaceName_Date,,,,,,,,
Holiday Half Marathon,Portland, OR,2017-12-10,,,,,,,,
Eugene Holiday Half & Hustle 10K/5K,Eugene, OR,2017-12-16,,,,,,,,
Resolution Relay: B.Y.O.B. Bring Your Own Baton,Boring, OR,2017-12-31,,,,,,,,
Deschutes River Half Marathon,Maupin, OR,2018-01-01,,,,,,,,
ORRC Y2K Run,Forest Grove, OR,2018-01-06,,,,,,,,
Oregon Winter Half Marathon,Aloha, OR,2018-01-20,,,,,,,,
Shamrock Run,Portland, OR,2018-03-18,,,,,,,,
Hop Hop Half Marathon,Portland, OR,2018-03-31,,,,,,,,
Cottage Grove Half Marathon,Cottage Grove, OR,2018-04-07,,,,,,,,
Bend Marathon,Bend, OR,2018-04-22,,,,,,,,
Spring Classic Duathlon & Half Marathon,Portland, OR,2018-04-22,,,,,,,,
Eugene Marathon,Eugene, OR,2018-04-29,,,,,,,,
Happy Girls Half Marathon,Bend, OR,2018-05-26,,,,,,,,
Memorial Day Half Marathon,Gervais, OR,2018-05-26,,,,,,,,
Oregon Spring Half Marathon,St. Paul, OR,2018-05-26,,,,,,,,
Dam Marathon,Oakridge, OR,2018-06-16,,,,,,,,
Fueled by Fine Wine Half Marathon,Dayton, OR,2018-07-08,,,,,,,,
Beachmania,Long Beach, CA,2017-07-29,,,,,,,,
Armed Forces Run,Long Beach, CA,2017-07-30,,,,,,,,
Crystal Springs Trail Run,Woodside, CA,2017-08-05,,,,,,,,
Quake and Shake Races,Mammoth Lakes, CA,2017-08-05,,,,,,,,
Rock the Bayshore,Long Beach, CA,2017-08-05,,,,,,,,
Round Valley Run,Greenville, CA,2017-08-05,,,,,,,,
Salinas Valley Half Marathon,Soledad, CA,2017-08-05,,,,,,,,
Santa Cruz Trail Run,Santa Cruz, CA,2017-08-05,,,,,,,,
Summer Breeze Half Marathon,San Leandro, CA,2017-08-05,,,,,,,,
Empower Race Series - Sunday,San Francisco, CA,2017-08-06,,,,,,,,
Run the Marina,Long Beach, CA,2017-08-06,,,,,,,,
Summer Dash Half Marathon,Santa Monica, CA,2017-08-06,,,,,,,,
Water To Wine Half Marathon,Healdsburg, CA,2017-08-06,,,,,,,,
Bear Creek Half Marathon,Martinez, CA,2017-08-12,,,,,,,,
Blast the Marina,Long Beach, CA,2017-08-12,,,,,,,,
Cinderella Trail Run,Oakland, CA,2017-08-12,,,,,,,,
Hell of a Half-Marathon,Exeter, CA,2017-08-12,,,,,,,,
Stairway to Heaven Ultra Half Marathon,San Diego, CA,2017-08-12,,,,,,,,
Summer Sizzle Half Marathon,Long Beach, CA,2017-08-12,,,,,,,,
Town's Half Marathon,Oakland, CA,2017-08-12,,,,,,,,
Arroyo Creek Half Marathon,Simi Valley, CA,2017-08-13,,,,,,,,
Cruise the Shoreline,Long Beach, CA,2017-08-13,,,,,,,,
Humboldt Bay Marathon,Eureka, CA,2017-08-13,,,,,,,,
Lake Merced Half Marathon,San Francisco, CA,2017-08-13,,,,,,,,
SAR Wild Run,Shaver Lake, CA,2017-08-13,,,,,,,,
Rock The Ocean,Long Beach, CA,2017-08-19,,,,,,,,
Running with the Bears Marathon,Greenville, CA,2017-08-19,,,,,,,,
Summer Breeze Half Marathon,Huntington Beach, CA,2017-08-19,,,,,,,,
Trail Run To Sly Park Lake,Pollock Pines, CA,2017-08-19,,,,,,,,
America's Finest City Half Marathon,San Diego, CA,2017-08-20,,,,,,,,
Blitz the Bay,Long Beach, CA,2017-08-20,,,,,,,,
Summer Showdown Half Marathon,Santa Monica, CA,2017-08-20,,,,,,,,
Angel Island Half Marathon,Tiburon, CA,2017-08-26,,,,,,,,
Rockin' the Marina,Long Beach, CA,2017-08-26,,,,,,,,
Summer Delight Half Marathon,Long Beach, CA,2017-08-26,,,,,,,,
Toro Trail Run,Salinas, CA,2017-08-26,,,,,,,,
Blaze the Coast,Long Beach, CA,2017-08-27,,,,,,,,
Diablo Trail Run,Clayton, CA,2017-08-27,,,,,,,,
San Francisco Giant Race,San Francisco, CA,2017-08-27,,,,,,,,
Santa Rosa Marathon,Santa Rosa, CA,2017-08-27,,,,,,,,
Beachmania,Long Beach, CA,2017-07-29,,,,,,,,
Armed Forces Run,Long Beach, CA,2017-07-30,,,,,,,,
Crystal Springs Trail Run,Woodside, CA,2017-08-05,,,,,,,,
Quake and Shake Races,Mammoth Lakes, CA,2017-08-05,,,,,,,,
Rock the Bayshore,Long Beach, CA,2017-08-05,,,,,,,,
Round Valley Run,Greenville, CA,2017-08-05,,,,,,,,
Salinas Valley Half Marathon,Soledad, CA,2017-08-05,,,,,,,,
Santa Cruz Trail Run,Santa Cruz, CA,2017-08-05,,,,,,,,
Summer Breeze Half Marathon,San Leandro, CA,2017-08-05,,,,,,,,
Empower Race Series - Sunday,San Francisco, CA,2017-08-06,,,,,,,,
Run the Marina,Long Beach, CA,2017-08-06,,,,,,,,
Summer Dash Half Marathon,Santa Monica, CA,2017-08-06,,,,,,,,
Water To Wine Half Marathon,Healdsburg, CA,2017-08-06,,,,,,,,
Bear Creek Half Marathon,Martinez, CA,2017-08-12,,,,,,,,
Blast the Marina,Long Beach, CA,2017-08-12,,,,,,,,
Cinderella Trail Run,Oakland, CA,2017-08-12,,,,,,,,
Hell of a Half-Marathon,Exeter, CA,2017-08-12,,,,,,,,
Stairway to Heaven Ultra Half Marathon,San Diego, CA,2017-08-12,,,,,,,,
Summer Sizzle Half Marathon,Long Beach, CA,2017-08-12,,,,,,,,
Town's Half Marathon,Oakland, CA,2017-08-12,,,,,,,,
Labor Day Triple - Day 1,Long Beach, CA,2017-09-02,,,,,,,,
Trail Hog Half Marathon,San Jose, CA,2017-09-02,,,,,,,,
Zoom Point Pinole Summer Run,Richmond, CA,2017-09-02,,,,,,,,
Disneyland Half Marathon,Anaheim, CA,2017-09-03,,,,,,,,
Labor Day Triple - Day 2,Long Beach, CA,2017-09-03,,,,,,,,
Pier to Peak Half Marathon,Santa Barbara, CA,2017-09-03,,,,,,,,
Race To The End of Summer,San Jose, CA,2017-09-03,,,,,,,,
Ventura Habitat Half Marathon,Ventura, CA,2017-09-03,,,,,,,,
Labor Day Triple - Day 3,Long Beach, CA,2017-09-04,,,,,,,,
Lagoon Valley Trail Run,Vacaville, CA,2017-09-09,,,,,,,,
Lexus LaceUp Running Series - Orange County,Irvine, CA,2017-09-09,,,,,,,,
Marina Madness,Long Beach, CA,2017-09-09,,,,,,,,
Slo ULTRA,San Luis Obispo, CA,2017-09-09,,,,,,,,
Zombie Runner San Francisco,San Francisco, CA,2017-09-09,,,,,,,,
Rock the Ocean,Long Beach, CA,2017-09-10,,,,,,,,
Blazing the Marina,Long Beach, CA,2017-09-16,,,,,,,,
Drag-N-Fly Half Marathon,Antioch, CA,2017-09-16,,,,,,,,
Lovers Leap of Faith - Strawberry,Kyburz, CA,2017-09-16,,,,,,,,
Mt. Madonna Challenge,Gilroy, CA,2017-09-16,,,,,,,,
